Код производителя,Артикул каталога,Наименование,Количество
027005,200300274_,027005 АВ DRX125 MT 3ф 50А 10ka Legrand (1),2
027028,200300275_,027028 АВ DRX125 MT 3ф 100А 20ka Legrand (1),1
